andre_mareschal-cour_bergere_ou_l_arcadie_de_messire_philippes_sidney	[vide]	1640.</p>	[vide]	[vide]	1640	[vide]
louis_sebastien_mercier-maison_de_moliere	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 20 octobre 1787.</span>	[vide]	[vide]	1787-10-20
charles_desnoyers-seducteur_et_son_eleve	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 22 avril 1829.	[vide]	[vide]	1829-04-22
dancourt-madame_artus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 8 mai 1708.	[vide]	[vide]	1708-05-08
alexandre_dumas_pere_auguste_maquet-mousquetaires	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 27 octobre 1845.	[vide]	[vide]	1845-10-27
georges_feydeau-tout_a_brown_sequard	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
eugene_scribe_germain_delavigne-auberge_ou_les_brigands_sans_le_savoir	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 19 mai 1812.	[vide]	[vide]	1812-05-19
eugene_scribe-inconsolables	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 8 décembre 1829.	[vide]	[vide]	1829-12-08
jean_de_rotrou-agesilan_de_colchos	[vide]	[vide]	Représentée pour la première fois, en 1635.	[vide]	[vide]	1635
francois_ponsard-ce_qui_plait_aux_femmes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 30 juillet 1860.	[vide]	[vide]	1860-07-30
alphonse_francois_dercy-moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 15 de janvier 1828.</span>	[vide]	[vide]	1828-01-15
voltaire-nanine_ou_le_prejuge_vaincu	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 16 juin 1749.	[vide]	[vide]	1749-06-16
philippe_poisson-alcibiade	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 23 février 1731.	[vide]	[vide]	1731-02-23
moliere-bourgeois_gentilhomme	[vide]	[vide]	représentée en public, à Paris, pour la première fois, sur le Théâtre du Palais-Royal le 23 novembre 1670 par la Troupe du Roi.	[vide]	[vide]	1670-11-23
emile_augier-paul_forestier	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de la Comédie-Française, le 25 janvier 1868.	[vide]	[vide]	1868-01-25
eugene_scribe_jean_henri_dupin-grisettes	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Gymnase, le 8 août 1823.	[vide]	[vide]	1823-08-08
thomas_sauvage_antoine_de_carrion_nizas-valerien_ou_le_jeune_aveugle	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte Saint-Martin, le 17 avril 1823.	[vide]	[vide]	1823-04-17
